
    MISSING SAMPLE
    MISSING SAMPLE
    MISSING SAMPLE
Sample   Position   Time (min)   H#         CPM (3H)    
1        **-1       1.00         35.0       10448.00    
2        **-2       1.00         35.6       10817.00    
3        **-3       1.00         36.9       11089.00    
4        **-4       1.00         34.5       265.00      
6        **-6       1.00         30.7       1819.00     
7        **-7       1.00         36.7       2114.00     
8        **-8       1.00         31.5       1549.00     
9        **-9       1.00         34.7       119.00      
11       **-11      1.00         31.2       318.00      
12       **-12      1.00         32.0       285.00      
13       **-13      1.00         34.1       325.00      
14       **-14      1.00         36.8       111.00      
16       **-16      1.00         32.4       33141.00    
17       **-17      1.00         34.3       31694.00    
