
  ID:ALON 3H                                29 MAR 1925 00:05
  USER:11                   COMMENT:                            
  PRESET TIME :       1.00
  DATA CALC   :        CPM  H#   :YES  SAMPLE REPEATS:   1    PRINTER      : STD
  COUNT BLANK :         NO  IC#  : NO  REPLICATES    :   1    RS232        : OFF
  TWO PHASE   :         NO  AQC  : NO  CYCLE REPEATS :   1
  SCINTILLATOR:     LIQUID  LUMEX: NO  LOW SAMPLE REJ:   0
  LOW LEVEL   :         NO  HALF LIFE CORRECTION DATE:        none       

  ISOTOPE 1:        3H  %ERROR: 0.00  FACTOR:   1.000000  BKG. SUB:      0


    MISSING SAMPLE





Sample   Position   Time (min)   H#         CPM (3H)    
1        **-1       1.00         30.1       162.00      
2        **-2       1.00         29.5       155.00      
3        **-3       1.00         28.6       145.00      
4        **-4       1.00         28.6       100.00      
5        **-5       1.00         30.2       108.00      
6        **-6       1.00         30.0       131.00      
7        **-7       1.00         30.4       148.00      
8        **-8       1.00         30.1       151.00      
9        **-9       1.00         28.9       132.00      
10       **-10      1.00         28.6       183.00      
11       **-11      1.00         29.5       129.00      
12       **-12      1.00         28.8       157.00      
13       **-13      1.00         29.4       129.00      
14       **-14      1.00         30.3       125.00      
15       **-15      1.00         29.9       143.00      
16       **-16      1.00         33.0       157.00      
17       **-17      1.00         29.2       148.00      
18       **-18      1.00         29.3       122.00      
37       17-1       1.00         30.0       108.00      
38       17-2       1.00         30.4       131.00      
39       17-3       1.00         29.0       152.00      
40       17-4       1.00         29.6       125.00      
41       17-5       1.00         30.1       106.00      
42       17-6       1.00         29.4       111.00      
43       17-7       1.00         30.2       104.00      
44       17-8       1.00         29.8       131.00      
45       17-9       1.00         28.7       149.00      
46       17-10      1.00         30.0       169.00      
47       17-11      1.00         30.6       146.00      
48       17-12      1.00         30.8       88.00       
49       17-13      1.00         30.7       102.00      
50       17-14      1.00         30.1       92.00       
51       17-15      1.00         29.9       121.00      
52       17-16      1.00         33.9       145.00      
53       17-17      1.00         31.4       145.00      
54       17-18      1.00         30.6       199.00      
55       **-1       1.00         31.6       132.00      
56       **-2       1.00         29.9       122.00      
57       **-3       1.00         29.7       95.00       
58       **-4       1.00         30.6       149.00      
59       **-5       1.00         31.3       158.00      
60       **-6       1.00         30.2       173.00      
61       **-7       1.00         29.6       144.00      
62       **-8       1.00         29.8       166.00      
64       **-10      1.00         30.5       163.00      
65       **-11      1.00         30.7       185.00      
66       **-12      1.00         29.4       117.00      
67       **-13      1.00         30.2       132.00      
68       **-14      1.00         30.4       95.00       
69       **-15      1.00         30.4       101.00      
70       **-16      1.00         33.0       191.00      
71       **-17      1.00         31.0       168.00      
72       **-18      1.00         32.7       191.00      
73       **-1       1.00         30.8       167.00      
74       **-2       1.00         30.4       197.00      
75       **-3       1.00         30.3       198.00      
76       **-4       1.00         30.0       96.00       
77       **-5       1.00         30.0       123.00      
78       **-6       1.00         29.9       148.00      
79       **-7       1.00         28.0       167.00      
80       **-8       1.00         30.7       183.00      
81       **-9       1.00         29.7       139.00      
82       **-10      1.00         29.3       135.00      
83       **-11      1.00         29.3       108.00      
84       **-12      1.00         29.5       93.00       
85       **-13      1.00         31.4       137.00      
86       **-14      1.00         30.0       147.00      
87       **-15      1.00         30.0       96.00       
88       **-16      1.00         31.2       146.00      
89       **-17      1.00         33.4       191.00      
90       **-18      1.00         31.3       151.00      
91       **-1       1.00         30.5       169.00      
92       **-2       1.00         30.0       195.00      
93       **-3       1.00         29.1       169.00      
94       **-4       1.00         30.3       150.00      
95       **-5       1.00         30.1       113.00      
96       **-6       1.00         32.6       158.00      
97       **-7       1.00         30.4       133.00      
98       **-8       1.00         29.8       179.00      
99       **-9       1.00         30.3       168.00      
100      **-10      1.00         28.5       166.00      
101      **-11      1.00         32.1       186.00      
102      **-12      1.00         31.7       148.00      
103      **-13      1.00         31.3       117.00      
104      **-14      1.00         30.6       141.00      
105      **-15      1.00         31.8       131.00      
106      **-16      1.00         30.3       158.00      
107      **-17      1.00         30.7       128.00      
108      **-18      1.00         28.8       124.00      
109      **-1       1.00         29.6       129.00      
110      **-2       1.00         32.1       139.00      
111      **-3       1.00         30.7       138.00      
112      **-4       1.00         30.2       164.00      
113      **-5       1.00         33.2       180.00      
114      **-6       1.00         30.2       146.00      
115      **-7       1.00         34.0       156.00      
116      **-8       1.00         35.3       192.00      
117      **-9       1.00         30.2       177.00      
118      **-10      1.00         29.4       187.00      
119      **-11      1.00         28.9       159.00      
120      **-12      1.00         28.0       169.00      
122      **-14      1.00         30.9       125.00      
123      **-15      1.00         30.1       126.00      
124      **-16      1.00         29.3       97.00       
125      **-17      1.00         32.1       128.00      
126      **-18      1.00         32.2       173.00      
127      **-1       1.00         29.6       200.00      
128      **-2       1.00         29.5       143.00      
129      **-3       1.00         31.0       153.00      
130      **-4       1.00         34.4       105.00      
131      **-5       1.00         30.5       157.00      
132      **-6       1.00         33.3       148.00      
133      **-7       1.00         33.8       168.00      
134      **-8       1.00         33.9       151.00      
135      **-9       1.00         33.5       209.00      
136      **-10      1.00         32.3       180.00      
137      **-11      1.00         29.8       167.00      
138      **-12      1.00         30.6       150.00      
139      **-13      1.00         31.0       195.00      
140      **-14      1.00         33.8       146.00      
141      **-15      1.00         30.8       162.00      
142      **-16      1.00         33.7       176.00      
143      **-17      1.00         30.0       143.00      
144      **-18      1.00         29.6       130.00      
145      **-1       1.00         34.6       175.00      
146      **-2       1.00         29.4       129.00      
147      **-3       1.00         33.0       185.00      
148      **-4       1.00         30.8       108.00      
149      **-5       1.00         29.8       106.00      
150      **-6       1.00         29.5       113.00      
151      **-7       1.00         30.0       94.00       
152      **-8       1.00         29.3       118.00      
153      **-9       1.00         30.0       100.00      
154      **-10      1.00         29.4       164.00      
155      **-11      1.00         28.6       84.00       
156      **-12      1.00         30.3       123.00      
157      **-13      1.00         32.2       113.00      
158      **-14      1.00         30.7       136.00      
159      **-15      1.00         31.0       103.00      
160      **-16      1.00         30.7       152.00      
161      **-17      1.00         33.1       152.00      
162      **-18      1.00         29.4       152.00      
163      **-1       1.00         31.4       126.00      
164      **-2       1.00         29.5       135.00      
165      **-3       1.00         29.8       113.00      
166      **-4       1.00         32.4       168.00      
167      **-5       1.00         30.5       159.00      
168      **-6       1.00         29.3       169.00      
169      **-7       1.00         29.4       96.00       
170      **-8       1.00         29.3       102.00      
171      **-9       1.00         28.6       97.00       
172      **-10      1.00         29.6       132.00      
173      **-11      1.00         30.8       109.00      
174      **-12      1.00         34.8       130.00      
175      **-13      1.00         29.0       125.00      
176      **-14      1.00         29.4       111.00      
177      **-15      1.00         30.2       96.00       
178      **-16      1.00         29.5       119.00      
180      **-18      1.00         31.4       99.00       
181      **-1       1.00         30.4       115.00      
182      **-2       1.00         31.2       141.00      
183      **-3       1.00         30.5       109.00      
184      **-4       1.00         32.0       161.00      
185      **-5       1.00         30.2       121.00      
186      **-6       1.00         32.4       165.00      
187      **-7       1.00         29.5       84.00       
188      **-8       1.00         30.2       104.00      
189      **-9       1.00         29.1       128.00      
190      **-10      1.00         29.8       124.00      
191      **-11      1.00         29.8       118.00      
192      **-12      1.00         29.9       106.00      
193      **-13      1.00         33.9       136.00      
194      **-14      1.00         33.9       127.00      
195      **-15      1.00         29.5       109.00      
196      **-16      1.00         28.5       121.00      
197      **-17      1.00         30.2       116.00      
198      **-18      1.00         28.7       123.00      
199      **-1       1.00         31.1       142.00      
200      **-2       1.00         33.9       181.01      
201      **-3       1.00         32.9       142.00      
202      **-4       1.00         31.2       142.00      
203      **-5       1.00         33.7       166.01      
204      **-6       1.00         33.9       162.01      
205      **-7       1.00         30.6       106.00      
206      **-8       1.00         33.1       112.00      
207      **-9       1.00         31.4       125.00      
208      **-10      1.00         29.4       105.00      
209      **-11      1.00         29.8       121.00      
210      **-12      1.00         31.0       109.00      
211      **-13      1.00         31.3       91.00       
212      **-14      1.00         29.8       90.00       
213      **-15      1.00         33.3       103.00      
214      **-16      1.00         32.2       70.00       
215      **-17      1.00         31.8       61.00       
216      **-18      1.00         29.7       71.00       
217      **-1       1.00         29.4       117.00      
218      **-2       1.00         30.0       135.00      
219      **-3       1.00         29.3       107.00      
220      **-4       1.00         33.1       146.01      
221      **-5       1.00         30.6       109.00      
222      **-6       1.00         30.9       120.00      
223      **-7       1.00         33.3       116.00      
224      **-8       1.00         30.1       91.00       
225      **-9       1.00         32.6       106.00      
226      **-10      1.00         28.5       97.00       
227      **-11      1.00         31.6       112.00      
228      **-12      1.00         32.9       140.01      
229      **-13      1.00         29.1       74.00       
230      **-14      1.00         30.8       92.00       
231      **-15      1.00         33.6       102.00      
232      **-16      1.00         31.5       93.00       
233      **-17      1.00         32.1       110.00      
234      **-18      1.00         29.7       86.00       
235      **-1       1.00         31.0       134.01      
236      **-2       1.00         30.0       129.00      
238      **-4       1.00         34.9       147.01      
239      **-5       1.00         30.2       116.00      
240      **-6       1.00         29.4       102.00      
241      **-7       1.00         29.6       84.00       
242      **-8       1.00         29.1       92.00       
243      **-9       1.00         30.3       78.00       
244      **-10      1.00         30.8       93.00       
245      **-11      1.00         30.6       109.00      
246      **-12      1.00         30.5       95.00       
247      **-13      1.00         30.7       53.00       
248      **-14      1.00         31.1       48.00       
249      **-15      1.00         33.0       61.00       
250      **-16      1.00         29.8       98.00       
251      **-17      1.00         31.1       89.00       
252      **-18      1.00         28.7       110.00      
253      **-1       1.00         31.0       158.01      
254      **-2       1.00         33.9       154.01      
255      **-3       1.00         32.4       155.01      
256      **-4       1.00         31.6       117.00      
257      **-5       1.00         30.9       119.00      
258      **-6       1.00         33.6       107.00      
259      **-7       1.00         30.5       112.00      
260      **-8       1.00         29.9       126.01      
261      **-9       1.00         33.7       133.01      
262      **-10      1.00         30.3       68.00       
263      **-11      1.00         29.6       78.00       
264      **-12      1.00         29.6       105.00      
265      **-13      1.00         29.1       76.00       
266      **-14      1.00         32.2       97.00       
267      **-15      1.00         30.0       84.00       
268      **-16      1.00         29.7       70.00       
269      **-17      1.00         30.3       69.00       
270      **-18      1.00         29.5       71.00       
271      **-1       1.00         29.8       145.01      
272      **-2       1.00         32.8       175.01      
273      **-3       1.00         33.1       148.01      
274      **-4       1.00         34.4       162.01      
275      **-5       1.00         31.4       148.01      
276      **-6       1.00         29.9       137.01      
277      **-7       1.00         34.5       97.00       
278      **-8       1.00         33.9       109.00      
279      **-9       1.00         29.8       125.01      
280      **-10      1.00         31.5       139.01      
281      **-11      1.00         29.9       96.00       
282      **-12      1.00         29.0       106.00      
283      **-13      1.00         29.5       72.00       
284      **-14      1.00         29.5       67.00       
285      **-15      1.00         33.2       76.00       
286      **-16      1.00         32.8       93.00       
287      **-17      1.00         31.5       116.01      
288      **-18      1.00         33.8       95.00       
289      **-1       1.00         31.2       113.01      
290      **-2       1.00         31.7       125.01      
291      **-3       1.00         33.2       148.01      
292      **-4       1.00         32.3       137.01      
293      **-5       1.00         30.5       81.00       
294      **-6       1.00         31.4       86.00       
296      **-8       1.00         32.1       128.01      
297      **-9       1.00         30.7       100.00      
298      **-10      1.00         30.1       81.00       
299      **-11      1.00         29.9       69.00       
300      **-12      1.00         30.3       68.00       
301      **-13      1.00         29.7       88.00       
302      **-14      1.00         31.0       92.00       
303      **-15      1.00         31.5       76.00       
304      **-16      1.00         30.7       71.00       
305      **-17      1.00         30.2       99.00       
306      **-18      1.00         32.2       66.00       
