  ID:ALON 3H                                 13 JAN 1925 11:27
  USER:11                   COMMENT:                            
  PRESET TIME :       1.00
  DATA CALC   :        CPM  H#   :YES  SAMPLE REPEATS:   1    PRINTER      : STD
  COUNT BLANK :         NO  IC#  : NO  REPLICATES    :   1    RS232        : OFF
  TWO PHASE   :         NO  AQC  : NO  CYCLE REPEATS :   1
  SCINTILLATOR:     LIQUID  LUMEX: NO  LOW SAMPLE REJ:   0
  LOW LEVEL   :         NO  HALF LIFE CORRECTION DATE:        none       
  ISOTOPE 1:        3H  %ERROR: 0.00  FACTOR:   1.000000  BKG. SUB:      0
  SAM  POS   TIME    H#        3H    LUMEX  ELAPSED
   NO         MIN             CPM  %ERROR     %      TIME
    1 **-1    1.00  29.8    302.00  11.51   0.01     1.52
    2 **-2    1.00  28.9    258.00  12.45   0.01     3.10
    3 **-3    1.00  28.3    271.00  12.15   0.01     4.72
    4 **-4    1.00  28.3    246.00  12.75   0.01     6.42
    5 **-5    1.00  28.9    227.00  13.27   0.01     8.05
    6 **-6    1.00  30.0    266.00  12.26   0.01     9.65
    7 **-7    1.00  31.9    265.00  12.29   0.01    11.27
    8 **-8    1.00  28.5    210.00  13.80   0.01    12.97
    9 **-9    1.00  29.8    164.00  15.62   0.01    14.60
   10 **-10   1.00  29.1    229.00  13.22   0.01    16.22
   11 **-11   1.00  30.2    184.00  14.74   0.01    17.83
   12 **-12   1.00  32.5    222.00  13.42   0.01    19.45
   19 **-1    1.00  28.6    310.00  11.36   0.01    21.25
   20 **-2    1.00  29.2    392.00  10.10   0.00    22.87
   21 **-3    1.00  31.6    324.00  11.11   0.01    24.48
   22 **-4    1.00  29.6    306.00  11.43   0.01    26.10
   23 **-5    1.00  31.7    392.00  10.10   0.00    27.73
   24 **-6    1.00  29.4    359.00  10.56   0.01    29.35
   25 **-7    1.00  31.4    299.00  11.57   0.01    31.08
   26 **-8    1.00  33.3    296.00  11.62   0.01    32.68
   27 **-9    1.00  29.7    225.00  13.33   0.01    34.30
   28 **-10   1.00  28.1    238.00  12.96   0.01    35.92
   29 **-11   1.00  29.1    257.00  12.48   0.01    37.55
   30 **-12   1.00  29.0    260.00  12.40   0.01    39.26
   37 **-1    1.00  33.8    507.00   8.88   0.00    41.05
   38 **-2    1.00  33.8    483.00   9.10   0.00    42.67
   39 **-3    1.00  31.0    488.00   9.05   0.00    44.30
   40 **-4    1.00  34.2    538.00   8.62   0.00    45.90
   41 **-5    1.00  31.8    446.00   9.47   0.00    47.54
   42 **-6    1.00  34.0    487.00   9.06   0.00    49.15
   43 **-7    1.00  30.6    283.00  11.89   0.01    50.79
   44 **-8    1.00  28.8    212.00  13.74   0.01    52.40
   45 **-9    1.00  34.8    368.00  10.43   0.00    54.02
   46 **-10   1.00  34.6    244.00  12.80   0.01    55.63
   47 **-11   1.00  32.8    311.00  11.34   0.01    57.36
   48 **-12   1.00  32.3    368.00  10.43   0.01    58.98
   55 **-1    1.00  33.2   1062.01   6.14   0.00    60.77
   56 **-2    1.00  28.4    872.01   6.77   0.00    62.39
   57 **-3    1.00  28.8    809.01   7.03   0.00    64.00
   58 **-4    1.00  33.5    723.01   7.44   0.00    65.62
   59 **-5    1.00  29.9    655.00   7.81   0.00    67.24
   60 **-6    1.00  33.3    736.01   7.37   0.00    68.96
   61 **-7    1.00  29.6    347.00  10.74   0.01    70.59
   62 **-8    1.00  29.4    339.00  10.86   0.01    72.20
   63 **-9    1.00  31.5    391.00  10.11   0.00    73.83
   64 **-10   1.00  29.5    308.00  11.40   0.01    75.54
   65 **-11   1.00  30.0    288.00  11.79   0.01    77.17
   66 **-12   1.00  32.9    322.00  11.15   0.01    78.79
   73 **-1    1.00  30.4    704.01   7.54   0.00    80.58
   74 **-2    1.00  30.1    684.01   7.65   0.00    82.20
   75 **-3    1.00  29.7   1056.01   6.15   0.00    83.82
   76 **-4    1.00  30.6    910.01   6.63   0.00    85.44
   77 **-5    1.00  33.1    954.01   6.48   0.00    87.07
   78 **-6    1.00  34.5    953.01   6.48   0.00    88.67
   79 **-7    1.00  32.4    825.01   6.96   0.00    90.30
   80 **-8    1.00  30.6    831.01   6.94   0.00    91.92
   81 **-9    1.00  29.0    760.01   7.25   0.00    93.55
   82 **-10   1.00  32.7    584.01   8.28   0.00    95.26
   83 **-11   1.00  34.1    598.01   8.18   0.00    96.88
   84 **-12   1.00  32.9    510.01   8.86   0.00    98.50
   91 **-1    1.00  31.1   1015.01   6.28   0.00   100.28
   92 **-2    1.00  28.9   1080.01   6.09   0.00   101.90
   93 **-3    1.00  32.9   1138.01   5.93   0.00   103.52
   94 **-4    1.00  28.9    981.01   6.39   0.00   105.13
   95 **-5    1.00  33.8   1124.01   5.97   0.00   106.75
   96 **-6    1.00  28.9    899.01   6.67   0.00   108.47
   97 **-7    1.00  28.0    689.01   7.62   0.00   110.21
   98 **-8    1.00  29.8    720.01   7.45   0.00   111.82
   99 **-9    1.00  32.7    860.01   6.82   0.00   113.45
  100 **-10   1.00  31.8    842.01   6.89   0.00   115.07
  101 **-11   1.00  29.9    821.01   6.98   0.00   116.68
  102 **-12   1.00  29.7    713.01   7.49   0.00   118.30
  109 **-1    1.00  29.2   1042.01   6.20   0.00   120.13
  110 **-2    1.00  29.6    936.01   6.54   0.00   121.74
  111 **-3    1.00  31.9   1196.02   5.78   0.00   123.37
  112 **-4    1.00  30.5    789.01   7.12   0.00   124.99
  113 **-5    1.00  29.9    950.01   6.49   0.00   126.62
  114 **-6    1.00  29.7   1047.01   6.18   0.00   128.24
  115 **-7    1.00  30.5    824.01   6.97   0.00   129.97
  116 **-8    1.00  31.7    923.01   6.58   0.00   131.59
  117 **-9    1.00  30.1    931.01   6.55   0.00   133.22
  118 **-10   1.00  28.7    820.01   6.98   0.00   134.83
  119 **-11   1.00  33.6   1012.01   6.29   0.00   136.45
  120 **-12   1.00  28.7    825.01   6.96   0.00   138.07
  127 **-1    1.00  29.1    940.01   6.52   0.00   139.87
  128 **-2    1.00  28.1    837.01   6.91   0.00   141.48
  129 **-3    1.00  31.8   1083.02   6.08   0.00   143.10
  130 **-4    1.00  28.0    882.01   6.73   0.00   144.72
  131 **-5    1.00  31.4   1012.02   6.29   0.00   146.34
  132 **-6    1.00  34.1   1129.02   5.95   0.00   147.95
  133 **-7    1.00  32.3    949.02   6.49   0.00   149.58
  134 **-8    1.00  30.2    770.01   7.21   0.00   151.19
  135 **-9    1.00  29.1    858.01   6.83   0.00   152.82
  136 **-10   1.00  29.7    910.01   6.63   0.00   154.43
  137 **-11   1.00  31.6    963.02   6.44   0.00   156.05
  138 **-12   1.00  28.4   1033.02   6.22   0.00   157.67
