  ID:ALON 3H                                  5 MAY 1925 08:57
  USER:11                   COMMENT:                            
  PRESET TIME :       1.00
  DATA CALC   :        CPM  H#   :YES  SAMPLE REPEATS:   1    PRINTER      : STD
  COUNT BLANK :         NO  IC#  : NO  REPLICATES    :   1    RS232        : OFF
  TWO PHASE   :         NO  AQC  : NO  CYCLE REPEATS :   1
  SCINTILLATOR:     LIQUID  LUMEX: NO  LOW SAMPLE REJ:   0
  LOW LEVEL   :         NO  HALF LIFE CORRECTION DATE:        none       
  ISOTOPE 1:        3H  %ERROR: 0.00  FACTOR:   1.000000  BKG. SUB:      0
  SAM  POS   TIME    H#        3H    LUMEX  ELAPSED
   NO         MIN             CPM  %ERROR     %      TIME
    1 **-1    1.00  32.3    173.00  15.21   0.01     1.52
    2 **-2    1.00  32.2    157.00  15.96   0.01     3.10
    3 **-3    1.00  31.6    149.00  16.38   0.01     4.72
    4 **-4    1.00  31.3    157.00  15.96   0.01     6.32
    5 **-5    1.00  32.1    139.00  16.96   0.01     7.94
    6 **-6    1.00  31.8    103.00  19.71   0.01     9.55
    7 **-7    1.00  31.9    821.00   6.98   0.00    11.17
    8 **-8    1.00  30.6    956.00   6.47   0.00    12.77
    9 **-9    1.00  31.9   1047.00   6.18   0.00    14.50
   10 **-10   1.00  32.5   1189.00   5.80   0.00    16.10
   11 **-11   1.00  32.1   1503.00   5.16   0.00    17.74
   12 **-12   1.00  30.7   1087.00   6.07   0.00    19.46
   14 **-14   1.00  34.3  18823.04   1.46   0.00    21.11
   19 **-1    1.00  33.0    502.00   8.93   0.00    22.85
   20 **-2    1.00  30.2    548.00   8.54   0.00    24.48
   21 **-3    1.00  31.9    476.00   9.17   0.00    26.09
   22 **-4    1.00  30.6    518.00   8.79   0.00    27.72
   23 **-5    1.00  30.3    535.00   8.65   0.00    29.33
   24 **-6    1.00  31.7    477.00   9.16   0.01    31.07
   25 **-7    1.00  32.1   1153.00   5.89   0.00    32.68
   26 **-8    1.00  30.4   1090.00   6.06   0.00    34.30
   27 **-9    1.00  31.3    910.00   6.63   0.00    35.91
   28 **-10   1.00  31.7    167.00  15.48   0.01    37.53
   29 **-11   1.00  31.4    143.00  16.72   0.01    39.15
   30 **-12   1.00  32.3    108.00  19.25   0.01    40.77
   37 **-1    1.00  31.0    573.00   8.36   0.00    42.55
   38 **-2    1.00  31.3    770.00   7.21   0.00    44.17
   39 **-3    1.00  30.1    620.00   8.03   0.00    45.78
   40 **-4    1.00  31.9   1147.01   5.91   0.00    47.42
   41 **-5    1.00  30.9   1414.01   5.32   0.00    49.03
   42 **-6    1.00  30.9   1438.01   5.27   0.00    50.65
   43 **-7    1.00  31.0   1278.01   5.59   0.00    52.27
   44 **-8    1.00  31.4   1256.01   5.64   0.00    53.89
   45 **-9    1.00  32.8   1496.01   5.17   0.00    55.50
   46 **-10   1.00  31.3    290.00  11.74   0.01    57.13
   47 **-11   1.00  30.9    264.00  12.31   0.01    58.73
   48 **-12   1.00  31.4    275.00  12.06   0.01    60.37
   55 **-1    1.00  32.2   1421.01   5.31   0.00    62.13
   56 **-2    1.00  30.9   1337.01   5.47   0.00    63.75
   57 **-3    1.00  32.2   1614.01   4.98   0.00    65.37
   58 **-4    1.00  30.2    298.00  11.59   0.01    67.00
   59 **-5    1.00  31.8    224.00  13.36   0.01    68.60
   60 **-6    1.00  31.6    312.00  11.32   0.01    70.23
   61 **-7    1.00  31.2   1392.01   5.36   0.00    71.85
   62 **-8    1.00  31.2   1543.01   5.09   0.00    73.47
   63 **-9    1.00  32.1   1527.01   5.12   0.00    75.08
   64 **-10   1.00  32.7   1322.01   5.50   0.00    76.72
   65 **-11   1.00  31.3   1450.01   5.25   0.00    78.33
   66 **-12   1.00  31.2   1537.01   5.10   0.00    79.95
   73 **-1    1.00  31.8    120.00  18.26   0.01    82.43
   74 **-2    1.00  31.7    264.00  12.31   0.01    84.05
   75 **-3    1.00  33.0    169.00  15.38   0.01    85.67
   76 **-4    1.00  32.9    614.01   8.07   0.00    87.30
   77 **-5    1.00  32.6    747.01   7.32   0.00    88.90
   78 **-6    1.00  32.7    729.01   7.41   0.00    90.53
   79 **-7    1.00  32.7    660.01   7.78   0.00    92.14
   80 **-8    1.00  33.5    797.01   7.08   0.00    93.77
   81 **-9    1.00  33.7    815.01   7.01   0.00    95.39
   82 **-10   1.00  31.4    266.00  12.26   0.01    97.12
   83 **-11   1.00  31.6    180.00  14.91   0.01    98.84
   84 **-12   1.00  31.1    184.00  14.74   0.01   100.47
   91 **-1    1.00  31.5   1092.01   6.05   0.00   102.25
   92 **-2    1.00  31.3   1243.01   5.67   0.00   103.87
   93 **-3    1.00  31.9   1198.01   5.78   0.00   105.48
   94 **-4    1.00  31.4    119.00  18.33   0.02   107.10
   95 **-5    1.00  31.2    117.00  18.49   0.02   108.82
   96 **-6    1.00  30.4    170.00  15.34   0.02   110.55
   97 **-7    1.00  32.6    198.00  14.21   0.01   112.17
   98 **-8    1.00  31.6    131.00  17.47   0.02   113.80
   99 **-9    1.00  31.0    102.00  19.80   0.02   115.52
  100 **-10   1.00  31.3    141.00  16.84   0.02   117.13
  101 **-11   1.00  31.7    193.00  14.40   0.01   118.75
  102 **-12   1.00  33.8    118.00  18.41   0.02   120.37
  109 **-1    1.00  31.6    695.01   7.59   0.00   122.15
  110 **-2    1.00  31.9    658.01   7.80   0.00   123.78
  111 **-3    1.00  30.7    736.01   7.37   0.00   125.39
  112 **-4    1.00  31.2   1194.02   5.79   0.00   127.02
  113 **-5    1.00  34.8   1160.02   5.87   0.00   128.63
  114 **-6    1.00  33.0   1121.02   5.97   0.00   130.25
  115 **-7    1.00  36.5    241.00  12.88   0.01   131.87
  116 **-8    1.00  30.9    110.00  19.07   0.02   133.50
  117 **-9    1.00  31.9    195.00  14.32   0.01   135.22
  118 **-10   1.00  32.0   1777.03   4.74   0.00   136.85
  119 **-11   1.00  36.1   1817.03   4.69   0.00   138.47
  120 **-12   1.00  34.8   1644.02   4.93   0.00   140.08
  127 **-1    1.00  31.7    887.01   6.72   0.00   141.85
  128 **-2    1.00  33.6   1038.02   6.21   0.00   143.48
  129 **-3    1.00  37.4   1067.02   6.12   0.00   145.08
  130 **-4    1.00  31.6    841.01   6.90   0.00   146.72
  131 **-5    1.00  32.3    988.02   6.36   0.00   148.32
  132 **-6    1.00  36.3   1111.02   6.00   0.00   149.95
  133 **-7    1.00  35.3   1464.02   5.23   0.00   151.55
  134 **-8    1.00  31.8   1138.02   5.93   0.00   153.19
  135 **-9    1.00  32.0   1324.02   5.50   0.00   154.80
  136 **-10   1.00  35.3    177.00  15.03   0.01   156.42
  137 **-11   1.00  36.2    126.00  17.82   0.02   158.03
  138 **-12   1.00  31.4    142.00  16.78   0.04   159.67
  145 **-1    1.00  31.2    222.00  13.42   0.01   162.14
  146 **-2    1.00  32.1    198.00  14.21   0.02   163.77
  147 **-3    1.00  30.9    191.00  14.47   0.02   165.48
  148 **-4    1.00  31.9    847.02   6.87   0.00   167.10
  149 **-5    1.00  33.2    973.02   6.41   0.00   168.72
  150 **-6    1.00  32.3    973.02   6.41   0.00   170.33
  151 **-7    1.00  32.7    336.01  10.91   0.01   171.95
  152 **-8    1.00  32.7    317.01  11.23   0.01   173.57
  153 **-9    1.00  32.0    340.01  10.85   0.01   175.29
  154 **-10   1.00  33.2    213.00  13.70   0.01   176.92
  155 **-11   1.00  31.6    121.00  18.18   0.02   178.53
  156 **-12   1.00  32.0    112.00  18.90   0.02   180.17
  158 **-14   1.00  32.2     99.00  20.10   0.04   181.78
  159 **-15   1.00  32.8    126.00  17.82   0.04   183.42
  160 **-16   1.00  31.7    126.00  17.82   0.03   185.04
  163 **-1    1.00  34.0     91.00  20.97   0.02   186.79
  164 **-2    1.00  31.0     77.00  22.79   0.02   188.40
  165 **-3    1.00  33.6    104.00  19.61   0.02   190.04
  166 **-4    1.00  31.9    500.01   8.94   0.01   191.65
  167 **-5    1.00  31.0    678.01   7.68   0.00   193.28
  168 **-6    1.00  31.2    661.01   7.78   0.00   194.89
  169 **-7    1.00  30.9   1103.02   6.02   0.00   196.52
  170 **-8    1.00  30.8   1164.02   5.86   0.00   198.24
  171 **-9    1.00  31.4   1279.03   5.59   0.00   199.87
  172 **-10   1.00  31.3    191.00  14.47   0.01   201.48
  173 **-11   1.00  31.2    153.00  16.17   0.02   203.10
  174 **-12   1.00  32.0    171.00  15.29   0.02   204.72
  176 **-14   1.00  31.7    979.02   6.39   0.00   206.35
  177 **-15   1.00  36.9   1445.03   5.26   0.00   207.97
  178 **-16   1.00  32.3   1248.03   5.66   0.00   209.58
  181 **-1    1.00  32.0   1096.02   6.04   0.00   211.32
  182 **-2    1.00  31.4   1121.03   5.97   0.00   212.95
  183 **-3    1.00  32.7   1218.03   5.73   0.00   214.57
  184 **-4    1.00  33.1    126.00  17.82   0.02   216.20
  185 **-5    1.00  32.1    167.00  15.48   0.01   217.80
  186 **-6    1.00  32.3    149.00  16.38   0.02   219.43
  187 **-7    1.00  32.8   1123.03   5.97   0.00   221.04
  188 **-8    1.00  33.1   1236.03   5.69   0.00   222.67
  189 **-9    1.00  31.4    981.02   6.39   0.00   224.28
  190 **-10   1.00  31.1   1217.03   5.73   0.00   225.90
  191 **-11   1.00  31.6   1218.03   5.73   0.00   227.52
  192 **-12   1.00  31.1   1209.03   5.75   0.00   229.15
  194 **-14   1.00  32.7    132.00  17.41   0.03   230.77
  195 **-15   1.00  32.2    182.00  14.82   0.02   232.40
  196 **-16   1.00  31.4    123.00  18.03   0.02   234.02
  199 **-1    1.00  32.4    349.01  10.71   0.01   236.47
  200 **-2    1.00  33.1    396.01  10.05   0.01   238.07
  201 **-3    1.00  32.9    317.01  11.23   0.01   239.72
  202 **-4    1.00  31.6    757.02   7.27   0.00   241.32
  203 **-5    1.00  31.6    741.02   7.35   0.00   242.95
  204 **-6    1.00  32.6    791.02   7.11   0.00   244.55
  205 **-7    1.00  31.9   1114.03   5.99   0.00   246.19
  206 **-8    1.00  30.9   1013.03   6.28   0.00   247.80
  207 **-9    1.00  33.3   1157.03   5.88   0.00   249.44
  208 **-10   1.00  31.7     79.00  22.50   0.03   251.16
  209 **-11   1.00  32.3     99.00  20.10   0.02   252.79
  210 **-12   1.00  31.4    129.00  17.61   0.02   254.40
  212 **-14   1.00  33.2    112.00  18.90   0.02   256.04
  213 **-15   1.00  32.3    130.00  17.54   0.02   257.65
  214 **-16   1.00  32.4    125.00  17.89   0.03   259.28
  217 **-1    1.00  30.4    464.01   9.28   0.01   261.02
  218 **-2    1.00  32.4    596.02   8.19   0.00   262.65
  219 **-3    1.00  31.0    574.02   8.35   0.00   264.37
  220 **-4    1.00  32.7    599.02   8.17   0.00   266.00
  221 **-5    1.00  31.6    560.02   8.45   0.00   267.62
  222 **-6    1.00  32.8    625.02   8.00   0.00   269.23
  223 **-7    1.00  31.0    197.01  14.25   0.01   270.85
  224 **-8    1.00  34.2    215.01  13.64   0.02   272.47
  225 **-9    1.00  30.5    227.01  13.27   0.01   274.09
  230 **-14   1.00  32.0    126.00  17.82   0.02   275.75
  231 **-15   1.00  31.8     97.00  20.31   0.03   277.37
  232 **-16   1.00  31.5    109.00  19.16   0.03   278.98
  235 **-1    1.00  32.3    589.02   8.24   0.01   280.72
  236 **-2    1.00  32.1    581.02   8.30   0.01   282.35
  237 **-3    1.00  31.5    616.02   8.06   0.01   283.97
  238 **-4    1.00  32.1    110.00  19.07   0.02   285.59
  239 **-5    1.00  32.1    101.00  19.90   0.03   287.20
  240 **-6    1.00  32.7    128.00  17.68   0.03   288.84
  241 **-7    1.00  31.5   1160.04   5.87   0.00   290.45
  242 **-8    1.00  32.3    976.03   6.40   0.00   292.09
  243 **-9    1.00  31.6    960.03   6.45   0.00   293.70
  248 **-14   1.00  34.5    214.01  13.67   0.01   295.37
  249 **-15   1.00  31.3    233.01  13.10   0.01   296.97
  250 **-16   1.00  31.9    250.01  12.65   0.01   298.71
  253 **-1    1.00  30.7    346.01  10.75   0.01   300.43
  254 **-2    1.00  31.1    295.01  11.64   0.01   302.07
  255 **-3    1.00  31.5    291.01  11.72   0.01   303.79
  256 **-4    1.00  32.2    936.03   6.54   0.00   305.42
  257 **-5    1.00  32.7   1039.03   6.20   0.00   307.02
  258 **-6    1.00  32.6    945.03   6.51   0.00   308.65
  259 **-7    1.00  31.4   1069.04   6.12   0.00   310.37
  260 **-8    1.00  32.4   1002.03   6.32   0.00   312.01
  261 **-9    1.00  31.2    999.03   6.33   0.00   313.62
  266 **-14   1.00  32.9   1090.04   6.06   0.00   315.28
  267 **-15   1.00  33.4   1088.04   6.06   0.00   316.90
  268 **-16   1.00  32.3   1102.04   6.02   0.00   318.64
  271 **-1    1.00  31.6     76.00  22.94   0.03   320.37
  272 **-2    1.00  31.7    117.00  18.49   0.03   322.10
  273 **-3    1.00  31.9    120.00  18.26   0.02   323.72
  274 **-4    1.00  32.1   1086.04   6.07   0.00   325.35
  275 **-5    1.00  30.4   1019.04   6.27   0.00   326.97
  276 **-6    1.00  33.2   1273.04   5.61   0.00   328.58
  277 **-7    1.00  31.8    338.01  10.88   0.01   330.20
  278 **-8    1.00  31.9    393.01  10.09   0.01   331.94
  279 **-9    1.00  32.5    282.01  11.91   0.01   333.55
  284 **-14   1.00  32.0    159.01  15.86   0.02   335.32
  285 **-15   1.00  31.9    131.00  17.47   0.02   336.93
  286 **-16   1.00  32.2    107.00  19.33   0.03   338.55
